testdate,expression,movement,quality,benchmarkpct,player_id
17/07/2024,isometric,sprint,acceleration,0.685,7
23/07/2024,isometric,upper body,pull,86.0,22
27/07/2024,dynamic,jump,pre-load,0.466,10
01/08/2024,isometric,jump,land,0.372,7
08/08/2024,dynamic,agility,deceleration,0.852,22
22/08/2024,isometric,agility,acceleration,0.7305,22
02/09/2024,dynamic,jump,pre-load,0.5095,7
04/09/2024,isometric,sprint,max velocity,0.698,7
07/09/2024,dynamic,agility,deceleration,0.9,10
09/09/2024,dynamic,jump,pre-load,0.505,22
23/09/2024,isometric,upper body,grapple,0.613,22
25/09/2024,dynamic,agility,deceleration,0.896,7
09/10/2024,isometric,jump,land,0.426,22
12/10/2024,isometric,jump,take off,0.426,10
13/10/2024,isometric,sprint,acceleration,0.6925,22
03/11/2024,isometric,upper body,push,0.936,7
05/11/2024,isometric,sprint,acceleration,0.677,7
08/11/2024,isometric,agility,rotate,0.6795,10
10/11/2024,dynamic,jump,pre-load,0.57,10
11/11/2024,isometric,jump,land,0.39,22
13/11/2024,isometric,jump,land,0.39,22
28/11/2024,isometric,jump,land,0.438,7
28/11/2024,isometric,sprint,max velocity,0.73,10
03/12/2024,isometric,upper body,push,0.876,10
10/12/2024,isometric,jump,take off,0.42,10
17/12/2024,isometric,agility,rotate,0.68,22
20/12/2024,dynamic,sprint,acceleration,0.498,10
24/12/2024,isometric,jump,take off,0.42,7
24/12/2024,isometric,sprint,acceleration,0.79,7
02/01/2025,isometric,jump,land,0.42,22
12/01/2025,dynamic,sprint,acceleration,0.5,22
20/01/2025,isometric,sprint,acceleration,0.7475,10
27/01/2025,dynamic,upper body,push,0.5,22
30/01/2025,dynamic,upper body,push,0.4965,7
11/02/2025,dynamic,agility,deceleration,0.87,10
15/02/2025,isometric,agility,deceleration,0.958,7
20/02/2025,isometric,jump,take off,0.3955,10
22/02/2025,isometric,jump,pre-load,0.79,22
03/03/2025,isometric,sprint,acceleration,0.807,10
08/03/2025,dynamic,upper body,push,0.495,10
04/07/2023,dynamic,jump,take off,0.711,7
10/07/2023,isometric,sprint,max velocity,87.3,7
11/07/2023,isometric,upper body,grapple,90.0,10
26/07/2023,isometric,upper body,pull,105.8,22
31/07/2023,dynamic,jump,pre-load,0.589,22
06/08/2023,isometric,jump,take off,74.3,7
07/08/2023,isometric,sprint,max velocity,85.9,22
14/08/2023,dynamic,jump,pre-load,0.57,7
15/08/2023,isometric,agility,deceleration,0.9775,22
22/08/2023,isometric,upper body,push,72.8,10
23/08/2023,isometric,upper body,pull,93.6,7
27/08/2023,isometric,agility,deceleration,1.0395,7
05/09/2023,dynamic,sprint,acceleration,0.3635,10
09/09/2023,dynamic,sprint,max velocity,0.5845,7
16/09/2023,isometric,jump,pre-load,0.52,22
24/09/2023,isometric,agility,deceleration,1.0395,22
25/09/2023,dynamic,jump,take off,0.6785,7
12/10/2023,dynamic,agility,deceleration,0.871,22
15/10/2023,dynamic,jump,take off,0.72,7
13/11/2023,isometric,agility,rotate,88.6,10
16/11/2023,isometric,upper body,push,0.67,7
19/11/2023,isometric,sprint,max velocity,92.0,10
22/11/2023,dynamic,jump,take off,0.631,22
27/11/2023,dynamic,agility,acceleration,0.4305,10
04/12/2023,dynamic,sprint,acceleration,0.43,22
15/12/2023,isometric,jump,take off,91.5,7
16/12/2023,isometric,agility,acceleration,0.52,22
17/12/2023,isometric,agility,rotate,99.9,7
18/12/2023,isometric,sprint,max velocity,95.4,7
19/12/2023,isometric,jump,take off,98.3,10
22/12/2023,dynamic,jump,take off,0.64,10
09/01/2024,isometric,jump,land,79.3,10
09/01/2024,dynamic,sprint,max velocity,0.634,10
23/01/2024,dynamic,jump,pre-load,0.524,22
02/02/2024,dynamic,jump,land,0.668,22
04/02/2024,dynamic,upper body,pull,0.899,22
11/02/2024,isometric,jump,land,101.9,7
17/02/2024,dynamic,jump,take off,0.64,22
20/02/2024,dynamic,agility,deceleration,0.89,22
21/02/2024,isometric,agility,rotate,82.8,22
22/02/2024,dynamic,jump,take off,0.64,10
25/02/2024,isometric,upper body,pull,83.4,22
02/03/2024,isometric,agility,acceleration,0.52,7
11/04/2024,isometric,sprint,acceleration,0.52,10
14/04/2024,isometric,upper body,grapple,92.7,7
25/04/2024,isometric,upper body,grapple,93.0,22
25/04/2024,isometric,upper body,push,0.704,10
30/04/2024,isometric,agility,rotate,79.3,7
02/05/2024,dynamic,upper body,push,0.43,22
05/05/2024,dynamic,jump,pre-load,0.521,7
05/05/2024,isometric,jump,pre-load,0.52,7
17/05/2024,dynamic,jump,land,0.664,7
20/05/2024,dynamic,jump,pre-load,0.4555,22
20/05/2024,dynamic,agility,acceleration,0.43,22
22/05/2024,isometric,agility,acceleration,0.49,7
02/06/2024,dynamic,sprint,acceleration,0.43,10
13/06/2024,isometric,jump,take off,88.3,10
23/06/2024,dynamic,upper body,pull,0.89,22
27/06/2024,isometric,jump,take off,104.9,22
06/07/2024,dynamic,jump,pre-load,0.482,22
19/07/2024,isometric,agility,deceleration,1.0365,22
20/07/2024,dynamic,agility,deceleration,0.858,22
03/08/2024,isometric,agility,acceleration,0.7305,10
18/08/2024,isometric,agility,rotate,0.384,22
22/08/2024,dynamic,sprint,max velocity,0.6795,7
09/09/2024,isometric,sprint,max velocity,0.698,7
24/09/2024,dynamic,agility,deceleration,0.896,10
12/10/2024,isometric,upper body,pull,75.3,7
25/10/2024,isometric,upper body,grapple,0.6695,10
25/10/2024,isometric,agility,acceleration,0.6935,10
27/10/2024,isometric,agility,deceleration,0.8515,7
30/10/2024,dynamic,agility,acceleration,0.486,22
02/11/2024,dynamic,agility,deceleration,0.88,7
22/11/2024,dynamic,upper body,push,0.47,7
22/11/2024,isometric,sprint,acceleration,0.799,10
07/12/2024,dynamic,jump,pre-load,0.557,7
22/12/2024,dynamic,upper body,pull,0.876,10
27/12/2024,isometric,agility,rotate,0.6705,22
30/12/2024,dynamic,sprint,max velocity,0.6645,22
02/01/2025,dynamic,upper body,pull,0.856,22
12/01/2025,dynamic,jump,land,0.7365,7
16/01/2025,dynamic,sprint,acceleration,0.5,10
28/01/2025,isometric,upper body,push,0.93,22
31/01/2025,isometric,jump,land,0.4495,10
01/02/2025,isometric,jump,pre-load,0.79,10
05/02/2025,isometric,agility,acceleration,0.79,22
11/02/2025,isometric,upper body,pull,0.805,22
15/02/2025,dynamic,agility,deceleration,0.87,10
17/02/2025,isometric,jump,land,0.3955,22
19/02/2025,dynamic,upper body,push,0.495,10
21/02/2025,dynamic,jump,land,0.745,10
28/02/2025,isometric,upper body,pull,0.854,22
06/03/2025,isometric,jump,take off,0.3955,7
08/03/2025,isometric,jump,take off,0.3955,22
08/03/2025,isometric,upper body,pull,0.851,7
11/03/2025,dynamic,upper body,push,0.495,10
09/07/2023,dynamic,jump,take off,0.711,10
12/07/2023,dynamic,agility,acceleration,0.336,7
24/07/2023,dynamic,agility,acceleration,0.33,10
24/07/2023,isometric,sprint,max velocity,104.9,7
03/08/2023,isometric,upper body,push,87.6,7
15/08/2023,isometric,jump,land,66.6,10
15/08/2023,isometric,agility,acceleration,76.3,7
30/08/2023,isometric,jump,land,80.4,22
01/09/2023,isometric,agility,acceleration,0.52,22
11/09/2023,isometric,jump,land,83.8,10
21/09/2023,isometric,agility,rotate,89.0,10
25/09/2023,isometric,jump,land,63.0,7
27/09/2023,isometric,upper body,pull,91.9,7
29/09/2023,isometric,agility,deceleration,1.0395,7
07/10/2023,isometric,upper body,pull,79.4,7
12/10/2023,dynamic,jump,pre-load,0.587,22
24/10/2023,dynamic,upper body,pull,0.871,22
30/10/2023,dynamic,upper body,push,0.4305,10
14/11/2023,isometric,upper body,pull,103.9,7
24/11/2023,dynamic,jump,land,0.69,7
26/11/2023,isometric,upper body,grapple,87.3,10
29/11/2023,dynamic,agility,acceleration,0.43,7
30/11/2023,isometric,agility,deceleration,1.038,7
03/12/2023,dynamic,upper body,pull,0.87,7
25/12/2023,dynamic,jump,pre-load,0.484,7
30/12/2023,dynamic,jump,land,0.674,7
08/01/2024,dynamic,upper body,pull,0.882,10
18/01/2024,isometric,upper body,push,0.687,7
23/01/2024,isometric,jump,take off,99.4,10
25/01/2024,dynamic,agility,deceleration,0.879,7
27/01/2024,isometric,upper body,pull,101.1,22
28/01/2024,isometric,jump,pre-load,0.52,22
01/02/2024,dynamic,jump,pre-load,0.524,22
01/02/2024,dynamic,sprint,max velocity,0.646,22
04/02/2024,isometric,sprint,max velocity,100.8,10
11/02/2024,isometric,upper body,push,0.772,10
18/02/2024,dynamic,upper body,push,0.4345,7
25/02/2024,dynamic,upper body,pull,0.89,22
25/02/2024,isometric,agility,acceleration,0.52,10
14/03/2024,isometric,sprint,acceleration,0.52,7
26/03/2024,isometric,jump,take off,84.3,7
27/03/2024,isometric,upper body,pull,84.2,10
30/03/2024,isometric,upper body,pull,87.8,22
22/04/2024,isometric,jump,pre-load,0.52,7
27/04/2024,isometric,upper body,push,0.704,22
06/05/2024,dynamic,upper body,pull,0.89,22
16/05/2024,dynamic,jump,land,0.664,22
22/05/2024,isometric,upper body,push,0.704,7
28/05/2024,dynamic,agility,deceleration,0.876,22
07/06/2024,dynamic,jump,land,0.664,7
07/06/2024,isometric,jump,land,96.4,22
12/06/2024,isometric,upper body,grapple,84.9,7
13/06/2024,dynamic,agility,deceleration,0.876,22
14/06/2024,dynamic,sprint,max velocity,0.625,10
23/06/2024,dynamic,jump,pre-load,0.4655,22
01/07/2024,dynamic,upper body,push,0.433,22
06/07/2024,isometric,agility,acceleration,0.46,7
11/07/2024,dynamic,upper body,push,0.491,7
12/07/2024,isometric,upper body,pull,88.8,22
15/07/2024,isometric,agility,rotate,0.278,10
27/07/2024,dynamic,jump,take off,0.7245,10
30/07/2024,dynamic,sprint,acceleration,0.428,7
06/08/2024,isometric,sprint,acceleration,0.7305,10
08/08/2024,dynamic,jump,take off,0.749,22
09/08/2024,isometric,upper body,pull,92.7,7
15/08/2024,isometric,jump,land,0.363,22
22/08/2024,dynamic,agility,deceleration,0.855,7
25/08/2024,isometric,jump,pre-load,0.7305,7
28/08/2024,dynamic,sprint,max velocity,0.6795,7
04/09/2024,dynamic,jump,take off,0.717,7
04/09/2024,isometric,upper body,pull,81.0,10
09/09/2024,dynamic,agility,deceleration,0.9,22
16/09/2024,isometric,agility,rotate,0.6315,22
23/09/2024,dynamic,agility,acceleration,0.494,22
26/09/2024,isometric,jump,pre-load,0.72,7
29/09/2024,isometric,agility,acceleration,0.72,10
12/10/2024,dynamic,jump,take off,0.7165,22
19/10/2024,dynamic,jump,land,0.666,10
28/10/2024,isometric,upper body,grapple,0.6695,7
29/10/2024,dynamic,jump,land,0.666,22
29/10/2024,dynamic,sprint,max velocity,0.652,10
04/11/2024,dynamic,upper body,pull,0.88,7
08/11/2024,isometric,jump,pre-load,0.7145,10
15/11/2024,isometric,jump,land,0.39,22
19/11/2024,dynamic,agility,deceleration,0.88,22
08/12/2024,isometric,agility,rotate,0.681,7
11/12/2024,dynamic,upper body,push,0.498,7
13/12/2024,isometric,upper body,push,0.876,7
26/12/2024,dynamic,agility,acceleration,0.498,10
06/01/2025,isometric,agility,deceleration,0.92,10
06/01/2025,isometric,sprint,acceleration,0.79,10
22/01/2025,isometric,agility,rotate,0.6675,7
24/01/2025,dynamic,sprint,acceleration,0.5,22
23/02/2025,isometric,upper body,pull,0.7975,22
10/03/2025,isometric,agility,rotate,0.627,10
11/07/2023,isometric,upper body,push,80.3,10
12/07/2023,isometric,jump,pre-load,88.4,22
26/07/2023,dynamic,jump,land,0.69,22
26/07/2023,isometric,jump,land,89.7,10
20/08/2023,dynamic,jump,take off,0.6945,10
22/08/2023,isometric,sprint,max velocity,94.3,22
24/08/2023,isometric,agility,deceleration,1.0395,7
27/08/2023,dynamic,sprint,max velocity,0.67,10
12/09/2023,dynamic,upper body,push,0.388,22
17/09/2023,dynamic,upper body,push,0.388,22
18/09/2023,isometric,agility,deceleration,1.0395,22
19/09/2023,dynamic,jump,pre-load,0.51,22
30/09/2023,dynamic,agility,deceleration,0.871,7
06/10/2023,isometric,agility,rotate,96.7,22
12/10/2023,isometric,upper body,push,79.0,10
30/10/2023,dynamic,upper body,pull,0.871,7
12/11/2023,isometric,sprint,max velocity,81.9,22
13/11/2023,isometric,jump,take off,80.3,7
13/11/2023,isometric,upper body,push,0.67,10
17/11/2023,isometric,upper body,pull,104.1,22
25/11/2023,dynamic,agility,acceleration,0.4305,10
29/12/2023,isometric,upper body,pull,88.8,22
05/01/2024,isometric,upper body,push,0.664,22
11/01/2024,isometric,upper body,grapple,90.2,22
25/01/2024,dynamic,sprint,max velocity,0.646,22
30/01/2024,isometric,jump,land,90.6,22
14/02/2024,isometric,jump,pre-load,0.52,7
14/02/2024,dynamic,sprint,max velocity,0.637,22
15/02/2024,isometric,jump,take off,82.8,22
20/02/2024,isometric,upper body,push,0.772,7
22/02/2024,isometric,jump,land,105.6,7
24/02/2024,isometric,upper body,push,0.704,7
26/02/2024,dynamic,upper body,pull,0.89,7
08/03/2024,isometric,agility,deceleration,1.138,7
21/03/2024,dynamic,sprint,max velocity,0.637,7
26/03/2024,isometric,upper body,pull,94.1,22
03/04/2024,isometric,agility,rotate,90.4,22
08/04/2024,isometric,agility,deceleration,1.1365,10
09/04/2024,dynamic,jump,land,0.655,22
20/04/2024,isometric,upper body,push,0.704,22
24/04/2024,dynamic,upper body,push,0.43,7
15/05/2024,isometric,sprint,acceleration,0.49,7
28/05/2024,isometric,agility,deceleration,1.1365,22
03/06/2024,isometric,upper body,push,0.704,10
12/06/2024,isometric,jump,take off,78.9,7
16/06/2024,dynamic,upper body,push,0.43,22
21/06/2024,isometric,jump,land,78.4,22
25/06/2024,isometric,jump,land,86.9,10
30/06/2024,dynamic,sprint,max velocity,0.625,10
01/07/2024,dynamic,sprint,acceleration,0.433,7
09/07/2024,isometric,agility,rotate,83.0,10
12/07/2024,isometric,sprint,acceleration,0.7165,22
24/07/2024,isometric,upper body,grapple,0.278,22
27/07/2024,isometric,agility,rotate,0.278,10
29/07/2024,isometric,upper body,push,0.892,10
31/07/2024,isometric,upper body,grapple,0.286,10
17/08/2024,isometric,sprint,max velocity,0.756,10
24/08/2024,dynamic,agility,acceleration,0.428,7
28/08/2024,dynamic,jump,take off,0.6915,10
10/09/2024,dynamic,jump,take off,0.717,7
15/09/2024,isometric,upper body,pull,79.3,22
17/09/2024,dynamic,jump,land,0.648,10
17/09/2024,dynamic,upper body,pull,0.9,7
18/09/2024,dynamic,agility,deceleration,0.9,10
24/09/2024,dynamic,sprint,max velocity,0.694,22
27/09/2024,dynamic,jump,pre-load,0.57,22
06/10/2024,dynamic,jump,land,0.648,22
09/10/2024,isometric,sprint,acceleration,0.6925,10
11/10/2024,isometric,sprint,acceleration,0.6925,10
12/10/2024,isometric,sprint,acceleration,0.6925,7
14/10/2024,isometric,jump,pre-load,0.6925,22
16/10/2024,isometric,agility,deceleration,0.8645,10
21/10/2024,isometric,sprint,acceleration,0.698,22
27/10/2024,dynamic,agility,acceleration,0.486,22
30/10/2024,isometric,agility,acceleration,0.677,7
31/10/2024,isometric,jump,take off,0.444,7
02/11/2024,dynamic,sprint,max velocity,0.643,7
05/11/2024,dynamic,upper body,push,0.486,7
10/11/2024,dynamic,upper body,push,0.47,22
04/12/2024,isometric,agility,acceleration,0.796,7
06/12/2024,isometric,upper body,pull,0.46,7
21/12/2024,dynamic,jump,land,0.728,7
23/12/2024,isometric,upper body,pull,0.46,7
11/01/2025,dynamic,sprint,acceleration,0.5,22
19/01/2025,isometric,jump,land,0.46,7
21/01/2025,dynamic,sprint,max velocity,0.667,22
23/01/2025,dynamic,sprint,max velocity,0.667,10
24/01/2025,dynamic,jump,land,0.7465,22
26/01/2025,isometric,jump,land,0.4495,22
01/02/2025,dynamic,agility,deceleration,0.873,7
06/02/2025,dynamic,upper body,push,0.495,10
13/02/2025,isometric,sprint,acceleration,0.79,10
17/02/2025,dynamic,jump,take off,0.68,10
25/02/2025,isometric,upper body,push,0.9555,10
05/03/2025,dynamic,jump,land,0.735,22
12/07/2023,isometric,jump,take off,86.3,10
29/07/2023,dynamic,jump,pre-load,0.589,22
03/08/2023,dynamic,sprint,acceleration,0.39,22
04/08/2023,dynamic,jump,land,0.6975,22
10/08/2023,isometric,jump,land,87.8,10
14/08/2023,dynamic,agility,deceleration,0.8695,7
15/08/2023,isometric,upper body,grapple,91.4,7
18/08/2023,dynamic,jump,land,0.69,10
29/08/2023,isometric,agility,rotate,85.0,7
19/09/2023,dynamic,sprint,max velocity,0.5845,7
04/10/2023,dynamic,jump,land,0.69,22
09/10/2023,isometric,jump,pre-load,0.52,22
10/10/2023,dynamic,agility,acceleration,0.4305,10
04/11/2023,isometric,jump,take off,79.9,10
08/11/2023,dynamic,agility,deceleration,0.871,7
24/12/2023,dynamic,jump,land,0.674,22
18/01/2024,isometric,agility,deceleration,1.138,10
30/01/2024,dynamic,agility,deceleration,0.899,10
03/02/2024,isometric,agility,rotate,80.3,10
04/02/2024,isometric,jump,land,102.1,10
05/02/2024,dynamic,jump,take off,0.64,10
17/02/2024,dynamic,sprint,acceleration,0.4345,10
24/02/2024,dynamic,sprint,max velocity,0.637,7
26/02/2024,isometric,jump,take off,77.5,22
26/02/2024,isometric,sprint,max velocity,93.6,22
07/03/2024,dynamic,sprint,max velocity,0.637,10
22/03/2024,isometric,upper body,push,0.704,22
05/04/2024,dynamic,agility,acceleration,0.44,22
11/04/2024,dynamic,agility,acceleration,0.433,22
18/04/2024,isometric,jump,take off,95.2,10
27/04/2024,isometric,jump,take off,88.8,10
03/05/2024,isometric,sprint,max velocity,0.1995,22
21/05/2024,dynamic,agility,acceleration,0.43,22
30/05/2024,isometric,agility,rotate,107.7,10
04/06/2024,dynamic,upper body,push,0.43,7
10/06/2024,dynamic,sprint,max velocity,0.625,22
12/06/2024,dynamic,upper body,pull,0.876,7
15/06/2024,isometric,upper body,grapple,95.0,22
01/07/2024,dynamic,jump,pre-load,0.482,7
13/07/2024,isometric,jump,take off,0.4125,7
16/07/2024,isometric,jump,take off,0.3975,7
18/07/2024,isometric,jump,land,0.3975,10
24/07/2024,isometric,jump,land,0.39,7
06/08/2024,isometric,upper body,grapple,0.384,7
11/08/2024,isometric,jump,land,0.363,7
23/08/2024,dynamic,jump,take off,0.723,22
23/08/2024,isometric,upper body,push,0.96,7
24/08/2024,isometric,sprint,max velocity,0.756,22
29/08/2024,isometric,agility,rotate,0.6375,7
05/09/2024,dynamic,jump,pre-load,0.505,7
08/09/2024,isometric,agility,deceleration,0.94,10
17/09/2024,isometric,jump,land,0.3945,22
01/10/2024,dynamic,upper body,push,0.494,7
01/10/2024,dynamic,agility,deceleration,0.896,22
09/10/2024,isometric,upper body,pull,108.4,22
13/10/2024,dynamic,sprint,max velocity,0.67,10
24/10/2024,dynamic,agility,deceleration,0.88,10
13/11/2024,dynamic,jump,take off,0.69,10
14/11/2024,dynamic,upper body,push,0.47,10
16/11/2024,dynamic,agility,deceleration,0.88,10
19/11/2024,isometric,sprint,max velocity,0.6325,10
21/11/2024,isometric,agility,deceleration,0.86,10
23/11/2024,isometric,jump,pre-load,0.799,10
25/11/2024,isometric,jump,land,0.444,7
22/12/2024,isometric,sprint,acceleration,0.796,22
27/12/2024,dynamic,sprint,max velocity,0.6645,10
28/12/2024,dynamic,agility,acceleration,0.498,10
05/01/2025,isometric,sprint,acceleration,0.79,22
06/01/2025,dynamic,jump,land,0.73,7
07/01/2025,isometric,upper body,grapple,0.66,22
14/01/2025,dynamic,agility,deceleration,0.853,22
15/01/2025,isometric,jump,take off,0.46,10
16/01/2025,isometric,agility,rotate,0.6675,22
01/02/2025,isometric,jump,land,0.39,22
02/02/2025,isometric,upper body,push,0.96,10
17/02/2025,dynamic,sprint,acceleration,0.495,10
22/02/2025,isometric,upper body,grapple,0.6385,10
24/02/2025,isometric,jump,take off,0.3955,10
01/03/2025,dynamic,jump,take off,0.6895,22
02/03/2025,dynamic,jump,take off,0.6895,22
08/03/2025,isometric,agility,deceleration,0.96,7
13/07/2023,isometric,upper body,grapple,83.5,7
20/07/2023,isometric,upper body,pull,83.7,22
24/07/2023,isometric,jump,land,95.3,7
12/08/2023,isometric,jump,pre-load,87.4,22
17/08/2023,dynamic,jump,take off,0.6905,7
21/08/2023,isometric,jump,take off,106.9,10
22/08/2023,dynamic,sprint,max velocity,0.67,7
26/08/2023,isometric,agility,deceleration,1.0395,10
01/09/2023,dynamic,agility,acceleration,0.3945,10
01/09/2023,dynamic,sprint,max velocity,0.5845,10
06/09/2023,isometric,agility,deceleration,1.0395,10
10/09/2023,isometric,jump,land,93.4,7
13/09/2023,isometric,jump,pre-load,0.52,22
17/09/2023,isometric,agility,rotate,79.6,10
23/09/2023,dynamic,upper body,pull,0.871,7
01/10/2023,dynamic,jump,pre-load,0.487,10
04/10/2023,isometric,sprint,max velocity,72.6,7
08/10/2023,isometric,jump,take off,89.2,7
11/10/2023,isometric,agility,rotate,89.1,7
20/10/2023,dynamic,agility,deceleration,0.871,22
20/10/2023,isometric,sprint,max velocity,93.1,7
26/10/2023,dynamic,agility,deceleration,0.871,7
31/10/2023,dynamic,jump,take off,0.651,22
02/11/2023,isometric,upper body,pull,102.1,22
08/11/2023,dynamic,upper body,push,0.431,7
24/11/2023,dynamic,sprint,max velocity,0.6475,22
04/12/2023,dynamic,jump,pre-load,0.5185,10
10/12/2023,isometric,upper body,push,0.664,10
14/12/2023,dynamic,agility,acceleration,0.43,22
20/12/2023,isometric,jump,take off,100.8,22
03/01/2024,dynamic,upper body,push,0.426,7
04/01/2024,dynamic,sprint,max velocity,0.634,22
05/01/2024,isometric,agility,acceleration,0.52,7
15/01/2024,isometric,jump,land,84.2,10
16/01/2024,isometric,jump,pre-load,0.52,22
20/01/2024,isometric,jump,pre-load,0.52,7
22/01/2024,dynamic,upper body,push,0.43,7
26/01/2024,dynamic,upper body,push,0.4345,10
30/01/2024,isometric,upper body,grapple,77.1,22
03/02/2024,isometric,jump,land,77.7,10
03/02/2024,isometric,agility,acceleration,0.52,7
08/02/2024,isometric,jump,land,82.6,7
10/02/2024,dynamic,agility,deceleration,0.89,22
13/02/2024,isometric,jump,land,86.3,7
19/02/2024,isometric,agility,deceleration,1.148,22
23/02/2024,isometric,agility,acceleration,0.52,10
02/03/2024,dynamic,agility,acceleration,0.4445,22
08/03/2024,dynamic,agility,deceleration,0.89,22
21/03/2024,dynamic,upper body,pull,0.89,7
25/03/2024,isometric,sprint,acceleration,0.52,7
01/04/2024,dynamic,agility,acceleration,0.44,22
01/04/2024,isometric,agility,acceleration,0.52,7
05/04/2024,isometric,agility,deceleration,1.138,7
09/04/2024,isometric,upper body,push,0.704,7
15/04/2024,isometric,agility,rotate,93.1,22
16/04/2024,isometric,jump,land,82.0,7
15/05/2024,isometric,jump,land,92.8,22
31/05/2024,isometric,agility,rotate,93.6,7
10/06/2024,isometric,jump,pre-load,0.49,10
14/06/2024,isometric,jump,land,91.4,7
24/06/2024,dynamic,upper body,pull,0.89,7
27/06/2024,dynamic,agility,acceleration,0.436,22
30/06/2024,isometric,jump,pre-load,0.49,22
02/07/2024,isometric,agility,rotate,78.7,7
05/07/2024,dynamic,agility,acceleration,0.43,10
08/07/2024,isometric,sprint,acceleration,0.7165,7
10/07/2024,isometric,sprint,acceleration,0.7165,7
14/07/2024,isometric,agility,acceleration,0.7165,10
19/07/2024,dynamic,jump,pre-load,0.469,22
20/07/2024,dynamic,agility,acceleration,0.488,7
20/07/2024,isometric,sprint,acceleration,0.685,22
23/07/2024,dynamic,jump,take off,0.709,22
23/07/2024,dynamic,sprint,acceleration,0.485,10
08/08/2024,isometric,jump,land,0.363,10
09/08/2024,dynamic,sprint,max velocity,0.6795,22
13/08/2024,isometric,agility,acceleration,0.7305,7
13/08/2024,isometric,sprint,max velocity,0.756,22
12/09/2024,dynamic,agility,deceleration,0.9,7
22/09/2024,dynamic,agility,deceleration,0.9,7
24/09/2024,isometric,agility,acceleration,0.72,10
24/09/2024,isometric,sprint,acceleration,0.72,7
06/10/2024,isometric,agility,rotate,0.6625,7
29/10/2024,isometric,upper body,grapple,0.6695,22
02/11/2024,isometric,agility,rotate,0.6695,10
03/11/2024,isometric,agility,acceleration,0.677,7
12/11/2024,dynamic,sprint,acceleration,0.47,7
15/11/2024,isometric,agility,rotate,0.6795,10
06/12/2024,dynamic,upper body,push,0.498,22
06/12/2024,isometric,agility,rotate,0.681,10
07/12/2024,dynamic,sprint,max velocity,0.662,10
09/12/2024,isometric,agility,acceleration,0.796,7
09/12/2024,isometric,sprint,acceleration,0.796,7
13/12/2024,isometric,sprint,acceleration,0.796,22
15/12/2024,dynamic,sprint,acceleration,0.498,7
07/01/2025,dynamic,sprint,acceleration,0.5,7
21/01/2025,dynamic,agility,deceleration,0.853,10
28/01/2025,isometric,upper body,grapple,0.6675,7
09/02/2025,isometric,agility,rotate,0.6415,22
12/02/2025,dynamic,jump,land,0.735,10
19/02/2025,dynamic,jump,land,0.745,22
20/02/2025,dynamic,agility,acceleration,0.495,10
01/03/2025,isometric,upper body,pull,0.854,7
03/03/2025,dynamic,jump,land,0.745,10
05/07/2023,dynamic,jump,land,0.72,10
12/08/2023,isometric,sprint,acceleration,94.7,7
17/08/2023,isometric,jump,land,110.8,7
20/08/2023,dynamic,upper body,pull,0.87,22
03/09/2023,isometric,upper body,pull,92.5,22
05/09/2023,dynamic,jump,land,0.69,7
06/09/2023,isometric,upper body,grapple,60.5,7
13/09/2023,dynamic,sprint,max velocity,0.5845,7
21/09/2023,isometric,upper body,pull,102.4,10
22/09/2023,isometric,upper body,grapple,83.0,10
26/09/2023,dynamic,agility,deceleration,0.871,10
30/09/2023,isometric,agility,rotate,112.7,7
04/10/2023,isometric,jump,pre-load,0.52,22
17/10/2023,isometric,agility,rotate,91.2,7
18/10/2023,isometric,jump,take off,73.2,10
22/10/2023,dynamic,jump,pre-load,0.564,10
22/10/2023,dynamic,sprint,max velocity,0.6475,7
23/10/2023,isometric,upper body,push,0.67,7
24/10/2023,dynamic,agility,deceleration,0.871,10
28/10/2023,isometric,upper body,push,0.67,10
07/11/2023,isometric,agility,acceleration,0.52,10
14/11/2023,isometric,upper body,push,0.67,7
18/11/2023,dynamic,upper body,push,0.43,10
23/11/2023,isometric,agility,acceleration,0.52,10
26/11/2023,dynamic,upper body,pull,0.871,22
04/12/2023,isometric,upper body,pull,69.4,7
04/12/2023,isometric,agility,deceleration,1.038,22
07/12/2023,dynamic,jump,land,0.685,22
10/12/2023,isometric,sprint,max velocity,105.4,10
15/12/2023,isometric,jump,land,101.1,7
24/12/2023,isometric,upper body,push,0.664,10
24/12/2023,dynamic,agility,acceleration,0.43,7
24/12/2023,isometric,agility,deceleration,1.112,22
26/12/2023,dynamic,sprint,max velocity,0.634,7
31/12/2023,dynamic,jump,land,0.674,10
14/01/2024,dynamic,sprint,acceleration,0.43,10
23/01/2024,isometric,sprint,acceleration,0.52,10
24/01/2024,isometric,sprint,max velocity,112.3,7
28/01/2024,isometric,upper body,pull,90.1,22
28/01/2024,isometric,sprint,max velocity,89.4,22
14/02/2024,isometric,agility,acceleration,0.52,7
14/02/2024,isometric,agility,deceleration,1.148,10
21/02/2024,isometric,jump,land,86.2,22
06/03/2024,isometric,upper body,pull,83.4,10
08/03/2024,isometric,sprint,max velocity,86.1,7
18/03/2024,dynamic,jump,take off,0.6525,10
26/03/2024,dynamic,jump,pre-load,0.524,22
04/04/2024,isometric,upper body,push,0.704,22
11/04/2024,dynamic,jump,pre-load,0.521,10
17/04/2024,dynamic,agility,acceleration,0.43,7
17/04/2024,dynamic,sprint,max velocity,0.628,10
26/04/2024,dynamic,sprint,max velocity,0.628,7
